ID,Reason.for.absence,Month.of.absence,Day.of.the.week,Seasons,Transportation.expense,Distance.from.Residence.to.Work,Service.time,Age,Work.load.Average.day,Hit.target,Disciplinary.failure,Education,Son,Social.drinker,Social.smoker,Pet,Weight,Height,Absenteeism.time.in.hours
28,23,1,4,2,225,26,9,28,31,95,0,1,1,0,0,2,69,169,1
34,27,1,3,2,118,10,10,37,31,95,0,1,0,0,0,0,83,172,1
34,27,1,2,2,118,10,10,37,31,95,0,1,0,0,0,0,83,172,2
11,18,1,3,2,289,36,13,33,31,95,0,1,2,1,0,1,90,172,8
34,27,1,2,2,118,10,10,37,31,95,0,1,0,0,0,0,83,172,0
14,23,1,2,2,155,12,14,34,34,100,0,1,2,1,0,0,95,196,2
5,26,1,2,2,235,20,13,43,34,100,0,1,1,1,0,0,106,167,8
22,12,1,2,2,179,26,9,30,32,96,0,3,0,0,0,0,56,171,24
22,27,1,2,2,179,26,9,30,32,96,0,3,0,0,0,0,56,171,2
14,18,1,3,2,155,12,14,34,32,96,0,1,2,1,0,0,95,196,8
22,27,1,4,2,179,26,9,30,32,96,0,3,0,0,0,0,56,171,2
6,23,2,5,2,189,29,13,33,29,99,0,1,2,0,0,2,69,167,8
28,28,2,2,2,225,26,9,28,29,99,0,1,1,0,0,2,69,169,2
22,23,2,3,2,179,26,9,30,29,99,0,3,0,0,0,0,56,171,1
18,23,2,3,2,330,16,4,28,29,99,0,2,0,0,0,0,84,182,1
28,23,2,4,2,225,26,9,28,29,99,0,1,1,0,0,2,69,169,1
11,22,2,6,2,289,36,13,33,13,96,0,1,2,1,0,1,90,172,3
3,23,2,6,2,179,51,18,38,13,96,0,1,0,1,0,0,89,170,3
3,27,2,6,2,179,51,18,38,13,96,0,1,0,1,0,0,89,170,3
3,27,2,2,2,179,51,18,38,13,96,0,1,0,1,0,0,89,170,3
3,27,2,6,2,179,51,18,38,13,96,0,1,0,1,0,0,89,170,3
22,27,2,5,2,179,26,9,30,18,97,0,3,0,0,0,0,56,171,2
28,7,2,3,2,225,26,9,28,18,97,0,1,1,0,0,2,69,169,8
3,27,2,4,2,179,51,18,38,18,97,0,1,0,1,0,0,89,170,3
3,27,2,5,2,179,51,18,38,18,97,0,1,0,1,0,0,89,170,3
22,13,2,5,2,179,26,9,30,18,97,0,3,0,0,0,0,56,171,2
33,14,3,6,2,248,25,14,47,35,95,0,1,2,0,0,1,86,165,3
17,8,3,5,2,179,22,17,40,35,95,0,2,2,0,1,0,63,170,8
28,11,3,4,3,225,26,9,28,35,95,0,1,1,0,0,2,69,169,16
7,14,3,5,3,279,5,14,39,35,95,0,1,2,1,1,0,68,168,16
28,28,3,6,3,225,26,9,28,35,95,0,1,1,0,0,2,69,169,2
28,28,3,2,3,225,26,9,28,35,95,0,1,1,0,0,2,69,169,1
24,19,3,4,2,246,25,16,41,9,98,0,1,0,1,0,0,67,170,16
17,22,3,3,2,179,22,17,40,9,98,0,2,2,0,1,0,63,170,8
24,28,3,3,3,246,25,16,41,9,98,0,1,0,1,0,0,67,170,2
3,27,3,4,2,179,51,18,38,2,99,0,1,0,1,0,0,89,170,2
3,10,3,2,2,179,51,18,38,2,99,0,1,0,1,0,0,89,170,4
28,23,4,4,3,225,26,9,28,33,96,0,1,1,0,0,2,69,169,1
20,19,4,6,3,260,50,11,36,33,96,0,1,4,1,0,0,65,168,56
11,19,4,3,3,289,36,13,33,33,96,0,1,2,1,0,1,90,172,8
3,28,4,4,3,179,51,18,38,6,98,0,1,0,1,0,0,89,170,4
36,13,4,4,3,118,13,18,50,6,98,0,1,1,1,0,0,98,178,120
3,28,4,2,3,179,51,18,38,6,98,0,1,0,1,0,0,89,170,4
10,23,4,3,3,361,52,3,28,11,91,0,1,1,1,0,4,80,172,2
25,16,4,3,3,235,16,8,32,11,91,0,3,0,0,0,0,75,178,3
14,28,5,5,3,155,12,14,34,37,92,0,1,2,1,0,0,95,196,2
14,28,5,2,3,155,12,14,34,37,92,0,1,2,1,0,0,95,196,1
28,19,5,3,3,225,26,9,28,37,92,0,1,1,0,0,2,69,169,8
