ID,Reason.for.absence,Month.of.absence,Day.of.the.week,Seasons,Transportation.expense,Distance.from.Residence.to.Work,Service.time,Age,Work.load.Average.day,Hit.target,Disciplinary.failure,Education,Son,Social.drinker,Social.smoker,Pet,Weight,Height,Absenteeism.time.in.hours
3,28,7,3,1,179,51,18,38,3,92,0,1,0,1,0,0,89,170,1
1,23,8,3,1,235,11,14,37,21,94,0,3,1,0,0,1,88,172,1
3,13,3,3,2,179,51,18,38,2,99,0,1,0,1,0,0,89,170,8
28,23,10,4,4,225,26,9,28,14,93,0,1,1,0,0,2,69,169,3
14,13,3,4,3,155,12,14,34,2,99,0,1,2,1,0,0,95,196,24
25,25,2,6,2,235,16,8,32,18,97,0,3,0,0,0,0,75,178,2
23,0,5,4,3,378,49,11,36,5,99,1,1,2,0,1,4,65,174,0
26,28,4,6,3,300,26,13,43,6,98,0,1,2,1,1,1,77,175,8
1,22,4,6,3,235,11,14,37,11,91,0,3,1,0,0,1,88,172,8
34,27,1,6,2,118,10,10,37,31,95,0,1,0,0,0,0,83,172,2
10,22,7,6,1,361,52,3,28,7,97,0,1,1,1,0,4,80,172,8
20,28,12,6,4,260,50,11,36,4,93,0,1,4,1,0,0,65,168,4
3,6,11,3,4,179,51,18,38,26,97,0,1,0,1,0,0,89,170,8
20,28,11,6,4,260,50,11,36,26,97,0,1,4,1,0,0,65,168,3
3,27,2,5,2,179,51,18,38,18,97,0,1,0,1,0,0,89,170,2
1,13,6,3,1,235,11,14,37,15,95,0,3,1,0,0,1,88,172,8
28,23,12,5,4,225,26,9,28,16,97,0,1,1,0,0,2,69,169,2
12,19,6,6,3,233,51,1,31,23,96,0,2,1,1,0,8,68,178,8
34,19,1,2,2,118,10,10,37,34,100,0,1,0,0,0,0,83,172,32
3,23,10,6,4,179,51,18,38,14,93,0,1,0,1,0,0,89,170,3
6,22,7,3,1,189,29,13,33,19,93,0,1,2,0,0,2,69,167,16
30,28,12,2,2,157,27,6,29,4,93,0,1,0,1,1,0,75,185,2
15,28,4,6,3,291,31,12,40,33,96,0,1,1,1,0,1,73,171,1
28,23,11,4,4,225,26,9,28,30,93,0,1,1,0,0,2,69,169,1
17,21,11,4,4,179,22,17,40,30,93,0,2,2,0,1,0,63,170,8
20,0,10,3,4,260,50,11,36,20,88,1,1,4,1,0,0,65,168,0
3,23,7,6,1,179,51,18,38,7,97,0,1,0,1,0,0,89,170,2
3,13,3,4,3,179,51,18,38,35,95,0,1,0,1,0,0,89,170,3
5,0,10,4,4,235,20,13,43,20,88,1,1,1,1,0,0,106,167,0
15,23,9,5,1,291,31,12,40,8,92,0,1,1,1,0,1,73,171,4
3,23,11,5,4,179,51,18,38,26,97,0,1,0,1,0,0,89,170,1
28,23,1,3,2,225,26,9,28,31,95,0,1,1,0,0,2,69,169,1
22,27,5,6,3,179,26,9,30,5,99,0,3,0,0,0,0,56,171,2
28,23,3,6,2,225,26,9,28,35,95,0,1,1,0,0,2,69,169,1
33,26,4,2,3,248,25,14,47,6,98,0,1,2,0,0,1,86,165,4
3,28,3,6,3,179,51,18,38,9,98,0,1,0,1,0,0,89,170,8
11,13,4,5,3,289,36,13,33,33,96,0,1,2,1,0,1,90,172,16
29,14,5,5,3,225,15,15,41,5,99,0,4,2,1,0,2,94,182,8
28,13,10,3,4,225,26,9,28,27,91,0,1,1,0,0,2,69,169,3
3,27,2,4,2,179,51,18,38,13,96,0,1,0,1,0,0,89,170,3
6,22,11,2,4,189,29,13,33,30,93,0,1,2,0,0,2,69,167,8
13,10,10,6,4,369,17,12,31,27,91,0,1,3,1,0,0,70,169,8
28,11,3,3,3,225,26,9,28,35,95,0,1,1,0,0,2,69,169,8
1,22,3,2,2,235,11,14,37,9,98,0,3,1,0,0,1,88,172,8
36,23,5,2,3,118,13,18,50,5,99,0,1,1,1,0,0,98,178,2
28,25,5,4,3,225,26,9,28,10,99,0,1,1,0,0,2,69,169,3
28,23,12,2,4,225,26,9,28,25,98,0,1,1,0,0,2,69,169,2
17,18,1,6,2,179,22,17,40,32,96,0,2,2,0,1,0,63,170,3
11,14,7,3,1,289,36,13,33,19,93,0,1,2,1,0,1,90,172,8
28,28,2,5,2,225,26,9,28,18,97,0,1,1,0,0,2,69,169,3
10,22,6,2,3,361,52,3,28,36,94,0,1,1,1,0,4,80,172,8
13,22,4,2,3,369,17,12,31,6,98,0,1,3,1,0,0,70,169,4
15,14,10,3,4,291,31,12,40,14,93,0,1,1,1,0,1,73,171,8
3,27,2,4,2,179,51,18,38,18,97,0,1,0,1,0,0,89,170,2
14,11,11,2,4,155,12,14,34,26,97,0,1,2,1,0,0,95,196,120
20,28,8,6,1,260,50,11,36,21,94,0,1,4,1,0,0,65,168,4
11,7,11,4,4,289,36,13,33,30,93,0,1,2,1,0,1,90,172,24
22,13,1,2,2,179,26,9,30,32,96,0,3,0,0,0,0,56,171,3
1,21,3,5,2,235,11,14,37,9,98,0,3,1,0,0,1,88,172,8
15,23,4,6,3,291,31,12,40,33,96,0,1,1,1,0,1,73,171,3
22,13,12,6,4,179,26,9,30,25,98,0,3,0,0,0,0,56,171,1
3,28,1,6,2,179,51,18,38,34,100,0,1,0,1,0,0,89,170,1
34,23,10,3,4,118,10,10,37,14,93,0,1,0,0,0,0,83,172,3
34,27,1,5,2,118,10,10,37,31,95,0,1,0,0,0,0,83,172,2
20,28,2,6,2,260,50,11,36,13,96,0,1,4,1,0,0,65,168,3
20,26,7,2,1,260,50,11,36,3,92,0,1,4,1,0,0,65,168,4
15,28,5,5,3,291,31,12,40,5,99,0,1,1,1,0,1,73,171,2
18,13,5,6,3,330,16,4,28,10,99,0,2,0,0,0,0,84,182,8
3,27,2,4,2,179,51,18,38,18,97,0,1,0,1,0,0,89,170,2
36,0,10,6,4,118,13,18,50,20,88,1,1,1,1,0,0,98,178,0
26,19,5,6,3,300,26,13,43,5,99,0,1,2,1,1,1,77,175,64
